Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in)
2020-07-01,100,93.0,86,83,82.0,81,84,70.8,56,5,3.1,0,0.0,0.0,0.0,0.00
2020-07-02,103,95.6,89,85,82.8,81,80,67.1,54,7,4.8,2,0.0,0.0,0.0,0.00
2020-07-03,105,95.1,88,85,82.5,80,79,67.4,51,8,4.5,2,0.0,0.0,0.0,0.00
2020-07-04,103,92.9,86,83,79.5,76,82,66.3,43,9,7.8,6,0.0,0.0,0.0,0.00
2020-07-05,93,83.4,74,82,77.8,74,100,84.4,66,7,4.4,2,0.0,0.0,0.0,1.38
2020-07-06,94,87.1,80,83,80.4,77,92,81.3,69,6,4.9,3,0.0,0.0,0.0,0.00
2020-07-07,94,86.0,82,81,79.4,78,90,81.1,67,10,7.3,5,0.0,0.0,0.0,0.02
2020-07-08,95,87.4,83,84,81.0,80,90,81.1,70,12,5.1,0,0.0,0.0,0.0,0.00
2020-07-09,98,90.6,83,81,79.1,78,92,69.6,55,7,5.1,0,0.0,0.0,0.0,0.00
2020-07-10,101,91.1,80,82,80.3,78,98,72.6,52,9,5.6,0,0.0,0.0,0.0,0.00
2020-07-11,98,88.8,77,84,79.9,76,98,76.3,59,6,4.3,3,0.0,0.0,0.0,0.31
2020-7-12,94,86.0,81,82,77.1,72,91,75.4,59,9,4.4,0,0.0,0.0,0.0,0.00
2020-07-13,98,90.4,81,78,76.6,75,87,65.1,48,7,5.0,2,0.0,0.0,0.0,0.00
2020-07-14,100,93.1,84,83,81.1,78,83,68.8,54,9,4.5,2,0.0,0.0,0.0,0.00
2020-07-15,98,90.8,86,84,81.1,78,85,73.9,57,9,5.3,2,0.0,0.0,0.0,0.00
2020-07-16,99,88.0,69,82,81.0,79,85,63.8,0,6,3.6,0,0.0,0.0,0.0,0.00
2020-07-17,96,89.6,86,85,82.6,80,      89, 80.4, 60,     8,   4.6, 2,     0.0, 0.0, 0.0,   0.00
2020-07-18,     95, 90.1, 87,        84, 82.6, 81,      86, 78.6, 71,     6,   4.0, 2,     0.0, 0.0, 0.0,   0.16
2020-07-19,     93, 85.1, 79,        83, 80.6, 77,      100, 86.9, 71,    8,   4.4, 0,     0.0, 0.0, 0.0,   2.76
2020-07-20,     90, 83.8, 77,        80, 77.3, 76,      98, 81.3, 69,     5,   3.1, 2,     0.0, 0.0, 0.0,   0.08
2020-07-21,     89, 79.3, 75,        81, 77.6, 75,      100, 94.9, 77,    14,  4.1, 0,     0.0, 0.0, 0.0,   0.08
2020-07-22,     81, 79.1, 76,        80, 77.8, 76,      100, 95.1, 87,    7,   4.0, 2,     0.0, 0.0, 0.0,   1.18
2020-07-23,     94, 86.1, 77,        81, 78.5, 76,      98, 78.8, 59,     6,   4.4, 0,     0.0, 0.0, 0.0,   2.68
2020-07-24,     94, 85.6, 78,        81, 79.5, 77,      95, 82.3, 64,     7,   5.3, 3,     0.0, 0.0, 0.0,   0.00
2020-07-25,     96, 87.4, 80,        85, 82.3, 78,      95, 84.9, 66,     6,   2.9, 2,     0.0, 0.0, 0.0,   0.04
2020-07-26,     97, 89.8, 83,        84, 82.0, 80,      94, 78.6, 59,     6,   2.5, 0,     0.0, 0.0, 0.0,   0.00
2020-07-27,     99, 91.9, 85,        85, 82.1, 80,      93, 74.5, 58,     9,   6.3, 3,     0.0, 0.0, 0.0,   0.02
2020-07-28,     98, 93.1, 86,        84, 82.5, 82,      95, 72.3, 59,     8,   5.3, 3,     0.0, 0.0, 0.0,   0.00
2020-07-29,     98, 85.4, 81,        82, 79.5, 76,      92, 83.1, 57,     5,   3.1, 2,     0.0, 0.0, 0.0,   0.00
2020-07-30,     89, 84.9, 81,        79, 77.6, 76,      89, 79.1, 68,     6,   5.4, 2,     0.0, 0.0, 0.0,   0.35
2020-07-31,     93, 87.9, 83,        82, 81.0, 80,      90, 80.9, 67,     6,   4.3, 3,     0.0, 0.0, 0.0,   0.03