Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in),City,State,Country
2020-07-01,      81, 77.4, 73,        77, 73.8, 72,      100, 89.9, 79,    33, 23.3, 9,     29.7, 29.6, 29.5,   0.00,   Tokyo,  Main Island,    Japan
2020-07-02,      86, 78.5, 72,        72, 68.4, 64,      100, 72.2, 48,    25, 18.6, 8,     29.8, 29.7, 29.6,   0.00,   Tokyo,  Main Island,    Japan
2020-07-03,      79, 75.0, 72,        73, 69.8, 68,      94, 83.1,  69,    15, 7.6, 2,      29.9, 29.9, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-04,      84, 76.3, 70,        75, 72.4, 68,      100, 88.8, 70,    30, 18.3, 0,     29.9, 29.7, 29.6,   0.00,   Tokyo,  Main Island,    Japan
2020-07-05,      84, 78.1, 75,        75, 73.4, 70,      100, 86.2, 70,    25, 17.7, 8,     29.7, 29.7, 29.6,   0.00,   Tokyo,  Main Island,    Japan
2020-07-06,      81, 77.4, 73,        77, 74.0, 72,      100, 90.6, 79,    25, 20.5, 12,    29.8, 29.7, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-07,      84, 80.4, 77,        77, 75.9, 75,      94, 86.9, 79,     29, 23.9, 18,    29.7, 29.7, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-08,      84, 79.0, 75,        77, 73.9, 70,      94, 85.4, 70,     36, 22.4, 15,    29.7, 29.6, 29.6,   0.00,   Tokyo,  Main Island,    Japan
2020-07-09,      81, 75.8, 73,        75, 72.8, 70,      100, 90.6, 70,    24, 17.3, 13,    29.8, 29.8, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-10,     82, 78.3, 75,        77, 74.3, 73,      94, 88.8, 79,     20, 14.5, 9,     29.9, 29.8, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-11,     86, 81.0, 77,        79, 76.6, 75,      94, 87.0, 74,     28, 22.2, 13,    29.8, 29.7, 29.6,   0.00,   Tokyo,  Main Island,    Japan
2020-07-12,     88, 79.4, 70,        77, 73.3, 66,      94, 82.4, 66,     26, 15.2, 7,     29.8, 29.6, 29.5,   0.00,   Tokyo,  Main Island,    Japan
2020-07-13,     75, 70.8, 68,        72, 67.8, 64,      100, 90.6, 78,    23, 10.4, 3,     29.9, 29.8, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-14,     79, 75.0, 73,        75, 72.2, 70,      100, 90.5, 83,    22, 10.2, 3,     29.7, 29.6, 29.4,   0.00,   Tokyo,  Main Island,    Japan
2020-07-15,     73, 69.7, 64,        72, 68.5, 64,      100, 96.1, 88,    17, 11.3, 5,     29.6, 29.5, 29.4,   0.00,   Tokyo,  Main Island,    Japan
2020-07-16,     75, 69.3, 64,        68, 65.7, 63,      100, 88.8, 73,    16, 10.0, 3,     29.8, 29.7, 29.6,   0.00,   Tokyo,  Main Island,    Japan
2020-07-17,     70, 67.7, 66,        68, 65.8, 64,      100, 94.5, 83,    15, 10.7, 6,     29.9, 29.8, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-18,     73, 69.9, 68,        72, 68.5, 66,      100, 95.8, 88,    14, 7.2, 1,      29.9, 29.8, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-19,     84, 76.2, 72,        75, 72.5, 70,      100, 89.2, 70,    22, 9.4, 1,      29.9, 29.8, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-20,     84, 79.2, 75,        79, 75.3, 72,      100, 88.6, 74,    12, 5.9, 1,      29.9, 29.8, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-21,     86, 76.9, 73,        77, 73.2, 72,      100, 88.3, 74,    15, 7.9, 2,      29.9, 29.8, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-22,     86, 79.4, 77,        79, 76.4, 75,      100, 91.2, 79,    17, 12.1, 8,     29.8, 29.8, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-23,     77, 74.9, 73,        75, 73.3, 72,      100, 94.3, 89,    13, 6.0, 0,      29.8, 29.7, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-24,     82, 77.5, 73,        77, 74.0, 72,      100, 90.1, 79,    12, 5.4, 1,      29.8, 29.8, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-25,     82, 78.4, 77,        79, 76.3, 75,      100, 93.8, 84,    16, 10.0, 1,     29.9, 29.8, 29.8,   0.00,   Tokyo,  Main Island,    Japan
2020-07-26,     86, 78.5, 73,        79, 75.8, 73,      100, 92.0, 66,    21, 13.6, 6,     29.9, 29.9, 29.9,   0.00,   Tokyo,  Main Island,    Japan
2020-07-27,     88, 81.6, 77,        77, 75.0, 73,      94, 81.7, 66,     21, 14.7, 7,     29.9, 29.9, 29.9,   0.00,   Tokyo,  Main Island,    Japan
2020-07-28,     90, 82.3, 77,        77, 76.0, 73,      94, 82.0, 66,     23, 13.7, 5,     29.9, 29.8, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-29,     77, 73.6, 72,        77, 70.4, 68,      100, 88.7, 83,    22, 12.3, 2,     30.0, 29.9, 29.7,   0.00,   Tokyo,  Main Island,    Japan
2020-07-30,     77, 73.4, 70,        73, 69.3, 66,      94, 86.6, 78,     12, 7.8, 3,      30.0, 29.9, 29.9,   0.00,   Tokyo,  Main Island,    Japan
2020-07-31,     82, 75.6, 72,        77, 73.2, 72,      100, 92.7, 74,    9,   5.1, 0,     29.9, 29.9, 29.8,   0.00,   Tokyo,  Main Island,    Japan